codigo,localidad,url_xml
id11005,Algodonales,http://www.aemet.es/xml/municipios/localidad_11005.xml
id22064,"Blecua y Torres",http://www.aemet.es/xml/municipios/localidad_22064.xml
id43009,Alforja,http://www.aemet.es/xml/municipios/localidad_43009.xml
id16014,Aliaguilla,http://www.aemet.es/xml/municipios/localidad_16014.xml
id19017,Algora,http://www.aemet.es/xml/municipios/localidad_19017.xml
id19018,"Alhóndiga",http://www.aemet.es/xml/municipios/localidad_19018.xml
id25014,"Alfés",http://www.aemet.es/xml/municipios/localidad_25014.xml
id40005,"Alconada de Maderuelo",http://www.aemet.es/xml/municipios/localidad_40005.xml
id03002,Agost,http://www.aemet.es/xml/municipios/localidad_03002.xml
id09199,"Mambrilla de Castrejón",http://www.aemet.es/xml/municipios/localidad_09199.xml
id16004,"Albaladejo del Cuende",http://www.aemet.es/xml/municipios/localidad_16004.xml
id10004,"Acehúche",http://www.aemet.es/xml/municipios/localidad_10004.xml
id25904,"Castell de Mur",http://www.aemet.es/xml/municipios/localidad_25904.xml
id42018,Almaluez,http://www.aemet.es/xml/municipios/localidad_42018.xml
id06149,"Villafranca de los Barros",http://www.aemet.es/xml/municipios/localidad_06149.xml
id13011,"Almadén",http://www.aemet.es/xml/municipios/localidad_13011.xml
id13014,Almedina,http://www.aemet.es/xml/municipios/localidad_13014.xml
id16197,"Santa María del Val",http://www.aemet.es/xml/municipios/localidad_16197.xml
id16174,"Puebla del Salvador",http://www.aemet.es/xml/municipios/localidad_16174.xml
id13012,Almadenejos,http://www.aemet.es/xml/municipios/localidad_13012.xml
id12010,"Almedíjar",http://www.aemet.es/xml/municipios/localidad_12010.xml
id46016,"Alcàntera de Xúquer",http://www.aemet.es/xml/municipios/localidad_46016.xml
id06009,"Aljucén",http://www.aemet.es/xml/municipios/localidad_06009.xml
id31023,Aranguren,http://www.aemet.es/xml/municipios/localidad_31023.xml
id42017,Almajano,http://www.aemet.es/xml/municipios/localidad_42017.xml
id02009,Almansa,http://www.aemet.es/xml/municipios/localidad_02009.xml
id22019,Alerre,http://www.aemet.es/xml/municipios/localidad_22019.xml
id40012,"Aldea Real",http://www.aemet.es/xml/municipios/localidad_40012.xml
id16016,Almendros,http://www.aemet.es/xml/municipios/localidad_16016.xml
id42020,"Almazán",http://www.aemet.es/xml/municipios/localidad_42020.xml
id09182,"Itero del Castillo",http://www.aemet.es/xml/municipios/localidad_09182.xml
id06001,Acedera,http://www.aemet.es/xml/municipios/localidad_06001.xml
id11035,Tarifa,http://www.aemet.es/xml/municipios/localidad_11035.xml
id09044,"Barrios de Colina",http://www.aemet.es/xml/municipios/localidad_09044.xml
id12011,Almenara,http://www.aemet.es/xml/municipios/localidad_12011.xml
id19079,Castilnuevo,http://www.aemet.es/xml/municipios/localidad_19079.xml
